Date,Open,High,Low,Close,Adj Close,Volume
2018-10-01,38.099998,38.700001,36.599998,38.299999,34.172367,85055
2018-10-03,39.849998,39.849998,37.599998,38.599998,34.440033,23066
2018-10-04,38.400002,38.400002,37.599998,37.900002,33.815475,33772
2018-10-05,37.900002,39.500000,36.799999,37.099998,33.101688,67529
2018-10-08,37.099998,37.099998,33.799999,34.150002,30.469620,93295
2018-10-09,35.000000,35.000000,32.700001,33.150002,29.577387,74574
2018-10-10,33.599998,35.500000,33.549999,34.900002,31.138788,56601
2018-10-11,34.000000,34.599998,32.599998,34.299999,30.603449,57790
2018-10-12,35.349998,36.049999,34.700001,35.150002,31.361847,43079
2018-10-15,35.299999,37.500000,35.200001,37.250000,33.235527,78064
2018-10-16,37.599998,38.599998,37.049999,37.400002,33.369362,58319
2018-10-17,37.900002,38.099998,36.000000,36.299999,32.387905,44531
2018-10-19,35.250000,35.950001,35.049999,35.250000,31.451069,31726
2018-10-22,35.549999,35.700001,34.700001,35.049999,31.272621,11230
2018-10-23,35.000000,35.049999,34.150002,34.500000,30.781898,21740
2018-10-24,35.099998,35.400002,33.549999,33.700001,30.068115,55625
2018-10-25,33.450001,34.000000,33.000000,33.549999,29.934277,23455
2018-10-26,33.549999,33.599998,32.099998,32.799999,29.265108,86099
2018-10-29,33.900002,33.950001,33.150002,33.750000,30.112726,48770
2018-10-30,33.650002,34.700001,33.650002,34.099998,30.425005,52493
2018-10-31,35.000000,36.500000,34.400002,36.250000,32.343296,182298
2018-11-01,36.849998,36.849998,35.349998,35.900002,32.031017,74999
2018-11-02,36.450001,37.000000,35.950001,36.049999,32.164852,74164
2018-11-05,35.450001,35.900002,35.000000,35.150002,31.361847,37503
2018-11-06,35.049999,35.400002,34.500000,34.900002,31.138788,106597
2018-11-07,35.049999,35.549999,35.049999,35.299999,31.495678,9383
2018-11-09,35.299999,35.750000,35.049999,35.200001,31.406456,93908
2018-11-12,35.250000,35.700001,35.000000,35.200001,31.406456,55651
2018-11-13,35.049999,35.500000,35.000000,35.099998,31.317234,23445
2018-11-14,35.349998,35.450001,34.799999,35.099998,31.317234,16765
2018-11-15,35.000000,35.200001,34.500000,35.000000,31.228012,22454
2018-11-16,35.049999,35.500000,34.799999,35.000000,31.228012,72364
2018-11-19,35.000000,35.000000,34.599998,34.750000,31.004953,20745
2018-11-20,34.750000,34.750000,34.049999,34.150002,30.469620,95812
2018-11-21,33.900002,34.500000,33.849998,34.400002,30.692675,16359
2018-11-22,34.500000,35.950001,34.500000,35.250000,31.451069,104881
2018-11-26,36.450001,36.450001,34.700001,34.849998,31.094175,30409
2018-11-27,34.900002,35.099998,34.700001,35.000000,31.228012,19997
2018-11-28,34.849998,34.900002,34.299999,34.450001,30.737286,10462
2018-11-29,34.849998,34.849998,33.950001,34.150002,30.469620,14404
2018-11-30,34.150002,34.650002,34.000000,34.200001,30.514231,24279
2018-12-03,34.099998,34.799999,34.099998,34.599998,30.871120,21269
2018-12-04,35.799999,36.299999,34.000000,35.000000,31.228012,170509
2018-12-05,34.650002,35.799999,34.099998,34.150002,30.469620,34007
2018-12-06,34.000000,34.049999,33.000000,33.099998,29.532776,87413
2018-12-07,33.250000,33.900002,33.150002,33.500000,29.889669,31673
2018-12-10,33.000000,33.150002,32.599998,33.000000,29.443554,23015
2018-12-11,32.349998,33.450001,32.349998,33.150002,29.577387,40769
2018-12-12,33.150002,34.200001,33.150002,33.950001,30.291170,51151
2018-12-13,34.400002,35.200001,33.950001,34.150002,30.469620,77570
2018-12-14,33.799999,34.400002,33.700001,33.799999,30.157337,24017
2018-12-17,34.099998,34.900002,34.099998,34.599998,30.871120,27080
2018-12-18,34.299999,35.200001,34.299999,35.049999,31.272621,70769
2018-12-19,35.500000,35.650002,35.250000,35.349998,31.540293,72467
2018-12-20,35.000000,36.950001,35.000000,36.250000,32.343296,207831
2018-12-21,36.000000,37.000000,35.250000,35.650002,31.807962,74334
2018-12-24,36.450001,36.450001,35.450001,35.650002,31.807962,26131
2018-12-26,36.650002,36.700001,35.950001,36.200001,32.298683,92372
2018-12-27,36.299999,36.500000,35.500000,35.650002,31.807962,50101
2018-12-28,36.250000,36.450001,35.900002,36.049999,32.164852,47840
2018-12-31,36.200001,36.750000,36.200001,36.299999,32.387905,34660
2019-01-01,36.250000,36.450001,35.900002,36.099998,32.209461,41675
2019-01-02,35.849998,36.849998,35.849998,36.000000,32.120239,34848
2019-01-03,36.200001,36.400002,35.900002,36.000000,32.120239,21207
2019-01-04,35.750000,36.049999,35.200001,35.599998,31.763346,35461
2019-01-07,35.599998,36.049999,35.500000,35.599998,31.763346,44166
2019-01-08,35.450001,35.900002,35.299999,35.500000,31.674124,24120
2019-01-09,35.900002,35.900002,35.349998,35.500000,31.674124,15824
2019-01-10,35.500000,38.500000,35.500000,36.750000,32.789413,257599
2019-01-11,36.700001,36.750000,35.700001,35.900002,32.031017,45059
2019-01-14,35.549999,35.650002,35.349998,35.500000,31.674124,12997
2019-01-15,36.500000,37.000000,36.049999,36.250000,32.343296,54927
2019-01-16,36.400002,36.400002,35.500000,35.599998,31.763346,53789
2019-01-17,35.250000,35.750000,35.250000,35.549999,31.718737,32380
2019-01-18,36.400002,36.400002,35.349998,35.400002,31.584906,75168
2019-01-21,35.500000,35.599998,35.000000,35.049999,31.272621,25924
2019-01-22,35.150002,36.250000,34.700001,35.950001,32.075630,147036
2019-01-23,37.799999,37.799999,35.650002,35.700001,31.852571,56241
2019-01-24,35.849998,35.849998,35.099998,35.250000,31.451069,52161
2019-01-25,35.650002,36.250000,34.700001,35.000000,31.228012,68881
2019-01-28,34.849998,34.900002,33.349998,33.599998,29.978889,96496
